fold_id,cv_tag,html_id,sent_id,text,tag
0,cv097,24970,29,non-traditional relationships are presented as matter-of-fact .,pos
8,cv834,22195,24,"the genuine "" gifts of healing "" listed in 1 corinthians 12 is just one of the nine manifestations of holy spirit and can be operated by any spiritually instructed man or woman in accordance with the knowledge and wisdom of god .",pos
8,cv807,21740,35,"the film's strength is in how all the characters are shown for what they are , and no one is that good or that bad , or judged too harshly for their shortcomings .",pos
3,cv391,10802,3,"but then again , not every film's supposed to leave you entertained .",pos
0,cv045,23923,21,"chris blackwell , founder of palm pictures , was also involved in the production of another jamaican box-office smash in 1981 entitled countryman , so i'd say he has a pretty good track record .",pos
7,cv777,10094,30,"unlike lily and chloe , these two have their entire lives ahead of them .",pos
0,cv095,28892,7,""" crazy/beautiful "" is quality fare , good enough that i half-expected the summer movie crap police to walk into the press screening and confiscate the print for "" failure to incorporate explosions and poop jokes . """,pos
8,cv897,10837,17,"add all this to the fact that "" good will hunting "" even manages to pull off an uplifting happy ending without getting excessively sentimental , and you might be wondering why i haven't given this film four stars .",pos
4,cv462,19350,30,they both discover that they both knew about the flirting .,pos
5,cv520,12295,7,"made in 1973 in a joint hong kong - hollywood venture , it was intended to bring bruce lee's skills and kung fu philosophy to the western audience .",pos
6,cv645,15668,20,many contemporary critics actually accused schrader of promoting conservative agenda .,pos
3,cv308,5016,13,"as the divinely jack , peter boyle succeeds in keeping his one-dimensional character funny and fresh .",pos
8,cv888,24435,30,phoenix plays his character brilliantly .,pos
8,cv831,14689,9,"with that out of the way , let me say this .",pos
5,cv531,26486,19,"besson's visual style permits the audience to enter the medieval age , feel the smell of fresh blood and the adrenaline pumping in your body in the heat of battle .",pos
4,cv454,2053,26,and what a pair of performances those leads are .,pos
9,cv930,13475,28,another shining example of good casting is now almost forgotten paul henreid as the weakest part of love triangle ; character of victor laszlo has believable charisma and looks like a somebody who could inspire millions of people to rise against nazi tiranny .,pos
8,cv836,12968,36,"all the same , this is a visionary , award-calibre film : entertaining , provocative , and intelligent .",pos
5,cv557,11449,9,"unfortunately , walter gets involved and fouls up the drop-off , and before they can try again to get the money to the supposed kidnappers , the dude's car gets stolen , along with the briefcase containing the money .",pos
8,cv850,16466,18,this character seemed very realistic to me .,pos
8,cv830,6014,25,"perhaps some sequences of the film may be unpleasant , but as a whole bastard out of carolina adds up to a powerful viewer experience worth seeing .",pos
4,cv461,19600,41,"father , my luis , who made me . . . who will look after me , my dark angel , when you are gone ? """,pos
7,cv709,10529,11,"there was such a look of sorrow and dispare on his face , ( not to sound hokey or anything ) it almost brought a tear to my eye .",pos
3,cv354,8132,13,and that gets her killed .,pos
